industry,year,adoption_rate,use_cases_count,investment_millions
Healthcare,2020,0.12,3,45.2
Healthcare,2021,0.18,5,78.5
Healthcare,2022,0.28,8,125.3
Healthcare,2023,0.45,12,198.7
Finance,2020,0.15,4,62.1
Finance,2021,0.25,7,112.4
Finance,2022,0.38,11,187.9
Finance,2023,0.62,18,298.5
Manufacturing,2020,0.08,2,28.3
Manufacturing,2021,0.14,4,52.7
Manufacturing,2022,0.22,6,89.4
Manufacturing,2023,0.38,8,145.2
Technology,2020,0.35,8,156.8
Technology,2021,0.48,12,234.5
Technology,2022,0.65,18,342.1
Technology,2023,0.78,24,456.3
Retail,2020,0.06,2,18.9
Retail,2021,0.11,3,34.2
Retail,2022,0.19,5,58.7
Retail,2023,0.32,8,95.4
Education,2020,0.09,2,21.5
Education,2021,0.15,4,38.9
Education,2022,0.24,6,62.3
Education,2023,0.41,9,98.7
Energy,2020,0.07,1,15.6
Energy,2021,0.12,3,28.4
Energy,2022,0.20,5,47.8
Energy,2023,0.35,7,78.9
Transportation,2020,0.05,1,12.3
Transportation,2021,0.09,2,23.7
Transportation,2022,0.16,4,41.2
Transportation,2023,0.29,6,67.8
